2020/5/28(Thu) 3:26:22.814,aaa,login,,
2020/5/28(Thu) 3:26:31.97,aaa,move to search from sns,,
2020/5/28(Thu) 3:27:9.161,aaa,search,,
2020/5/28(Thu) 3:27:17.234,aaa,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 3:27:17.236,aaa,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/5/28(Thu) 3:27:17.237,aaa,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/5/28(Thu) 3:27:27.113,aaa,tweet in window,-M640mlXY6GHXvPeibmB,
2020/5/28(Thu) 3:27:27.115,aaa,tweet in window,-M640qssvdkM0Xxob2lZ,
2020/5/28(Thu) 3:27:27.117,aaa,tweet in window,-M640sH6RpBziEJrCcyo,
2020/5/28(Thu) 3:27:51.763,aaa,back from search,,
2020/5/28(Thu) 3:27:53.925,aaa,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 3:27:53.929,aaa,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/5/28(Thu) 3:27:53.930,aaa,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/5/28(Thu) 3:27:54.775,aaa,tap a home icon,,
2020/5/28(Thu) 3:27:57.409,aaa,check self id,,
2020/5/28(Thu) 3:27:59.803,aaa,tap a menu icon,,
2020/5/28(Thu) 3:32:37.521,aaa,check self id,,
2020/5/28(Thu) 3:32:38.607,aaa,tap a menu icon,,
2020/5/28(Thu) 3:32:39.514,aaa,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 3:32:39.516,aaa,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/5/28(Thu) 3:32:39.517,aaa,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/5/28(Thu) 3:32:41.259,aaa,fav,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 3:32:42.464,aaa,cancel fav,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 3:32:52.953,aaa,tap a menu icon,,
2020/5/28(Thu) 3:32:53.789,aaa,open a logout form,,
2020/5/28(Thu) 3:32:55.140,aaa,logout,,
2020/5/28(Thu) 12:15:25.250,aaa,login,,
2020/5/28(Thu) 12:16:31.30,aaa,tweet in window,-M640sH6RpBziEJrCcyo,
2020/5/28(Thu) 12:16:31.40,aaa,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/5/28(Thu) 12:16:31.45,aaa,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/5/28(Thu) 12:16:31.49,aaa,tweet in window,-M67gaYP9rmRiJfRbY1x,
